sample_index,timestamp_ms,ch2_mv,packet_index
58461,116922.000,-10.514785,2338
58462,116924.000,-11.092616,2338
58463,116926.000,-11.412097,2338
58464,116928.000,-11.428977,2338
58465,116930.000,-11.229898,2338
58466,116932.000,-10.798217,2338
58467,116934.000,-10.374118,2338
58468,116936.000,-10.081579,2338
58469,116938.000,-9.926940,2338
58470,116940.000,-10.025359,2338
58471,116942.000,-10.467340,2338
58472,116944.000,-11.059715,2338
58473,116946.000,-11.392261,2338
58474,116948.000,-11.407615,2338
58475,116950.000,-11.209728,2339
58476,116952.000,-10.791112,2339
58477,116954.000,-10.375882,2339
58478,116956.000,-10.085822,2339
58479,116958.000,-9.941627,2339
58480,116960.000,-10.048581,2339
58481,116962.000,-10.493280,2339
58482,116964.000,-11.081792,2339
58483,116966.000,-11.407806,2339
58484,116968.000,-11.419822,2339
58485,116970.000,-11.217977,2339
58486,116972.000,-10.789110,2339
58487,116974.000,-10.377599,2339
58488,116976.000,-10.093642,2339
58489,116978.000,-9.949399,2339
58490,116980.000,-10.061599,2339
58491,116982.000,-10.512163,2339
58492,116984.000,-11.102725,2339
58493,116986.000,-11.424591,2339
58494,116988.000,-11.424400,2339
58495,116990.000,-11.222602,2339
58496,116992.000,-10.804750,2339
58497,116994.000,-10.400392,2339
58498,116996.000,-10.106994,2339
58499,116998.000,-9.954358,2339
58500,117000.000,-10.057546,2340
58501,117002.000,-10.498477,2340
58502,117004.000,-11.075784,2340
58503,117006.000,-11.394836,2340
58504,117008.000,-11.411764,2340
58505,117010.000,-11.201669,2340
58506,117012.000,-10.756303,2340
58507,117014.000,-10.327913,2340
58508,117016.000,-10.040809,2340
58509,117018.000,-9.903575,2340
58510,117020.000,-10.018636,2340
58511,117022.000,-10.480357,2340
58512,117024.000,-11.076070,2340
58513,117026.000,-11.401750,2340
58514,117028.000,-11.426069,2340
58515,117030.000,-11.232425,2340
58516,117032.000,-10.795213,2340
58517,117034.000,-10.367681,2340
58518,117036.000,-10.083057,2340
58519,117038.000,-9.950210,2340
58520,117040.000,-10.059453,2340
58521,117042.000,-10.509445,2340
58522,117044.000,-11.094905,2340
58523,117046.000,-11.412908,2340
58524,117048.000,-11.433269,2340
58525,117050.000,-11.223413,2341
58526,117052.000,-10.769321,2341
58527,117054.000,-10.348655,2341
58528,117056.000,-10.064842,2341
58529,117058.000,-9.927226,2341
58530,117060.000,-10.039998,2341
58531,117062.000,-10.497857,2341
58532,117064.000,-11.082412,2341
58533,117066.000,-11.400320,2341
58534,117068.000,-11.411477,2341
58535,117070.000,-11.208059,2341
58536,117072.000,-10.767747,2341
58537,117074.000,-10.347797,2341
58538,117076.000,-10.061599,2341
58539,117078.000,-9.923650,2341
58540,117080.000,-10.037376,2341
58541,117082.000,-10.501386,2341
58542,117084.000,-11.083127,2341
58543,117086.000,-11.395503,2341
58544,117088.000,-11.413433,2341
58545,117090.000,-11.220075,2341
58546,117092.000,-10.766841,2341
58547,117094.000,-10.336829,2341
58548,117096.000,-10.048152,2341
58549,117098.000,-9.919931,2341
58550,117100.000,-10.043479,2342
58551,117102.000,-10.513879,2342
58552,117104.000,-11.102535,2342
58553,117106.000,-11.419250,2342
58554,117108.000,-11.433031,2342
58555,117110.000,-11.233903,2342
58556,117112.000,-10.788871,2342
58557,117114.000,-10.378839,2342
58558,117116.000,-10.103894,2342
58559,117118.000,-9.975768,2342
58560,117120.000,-10.091306,2342
58561,117122.000,-10.555841,2342
58562,117124.000,-11.133005,2342
58563,117126.000,-11.440898,2342
58564,117128.000,-11.455871,2342
58565,117130.000,-11.229755,2342
58566,117132.000,-10.762025,2342
58567,117134.000,-10.334445,2342
58568,117136.000,-10.044624,2342
58569,117138.000,-9.907342,2342
58570,117140.000,-10.018064,2342
58571,117142.000,-10.485936,2342
58572,117144.000,-11.069728,2342
58573,117146.000,-11.383344,2342
58574,117148.000,-11.411621,2342
58575,117150.000,-11.218692,2343
58576,117152.000,-10.748531,2343
58577,117154.000,-10.314370,2343
58578,117156.000,-10.034992,2343
58579,117158.000,-9.907533,2343
58580,117160.000,-10.035611,2343
58581,117162.000,-10.511924,2343
58582,117164.000,-11.092283,2343
58583,117166.000,-11.404706,2343
58584,117168.000,-11.408807,2343
58585,117170.000,-11.198760,2343
58586,117172.000,-10.753299,2343
58587,117174.000,-10.342265,2343
58588,117176.000,-10.056592,2343
58589,117178.000,-9.926416,2343
58590,117180.000,-10.052205,2343
58591,117182.000,-10.532810,2343
58592,117184.000,-11.115505,2343
58593,117186.000,-11.423875,2343
58594,117188.000,-11.417676,2343
58595,117190.000,-11.211683,2343
58596,117192.000,-10.776473,2343
58597,117194.000,-10.381271,2343
58598,117196.000,-10.097076,2343
58599,117198.000,-9.968902,2343
58600,117200.000,-10.093213,2344
58601,117202.000,-10.568477,2344
58602,117204.000,-11.136104,2344
58603,117206.000,-11.430932,2344
58604,117208.000,-11.411621,2344
58605,117210.000,-11.184980,2344
58606,117212.000,-10.729171,2344
58607,117214.000,-10.325433,2344
58608,117216.000,-10.034753,2344
58609,117218.000,-9.906961,2344
58610,117220.000,-10.030795,2344
58611,117222.000,-10.510160,2344
58612,117224.000,-11.087467,2344
58613,117226.000,-11.396123,2344
58614,117228.000,-11.399843,2344
58615,117230.000,-11.193849,2344
58616,117232.000,-10.747625,2344
58617,117234.000,-10.354139,2344
58618,117236.000,-10.076286,2344
58619,117238.000,-9.956838,2344
58620,117240.000,-10.090686,2344
58621,117242.000,-10.572625,2344
58622,117244.000,-11.146261,2344
58623,117246.000,-11.439802,2344
58624,117248.000,-11.422159,2344
58625,117250.000,-11.215021,2345
58626,117252.000,-10.767318,2345
58627,117254.000,-10.372306,2345
58628,117256.000,-10.088588,2345
58629,117258.000,-9.961463,2345
58630,117260.000,-10.086538,2345
58631,117262.000,-10.573436,2345
58632,117264.000,-11.141969,2345
58633,117266.000,-11.431886,2345
58634,117268.000,-11.399795,2345
58635,117270.000,-11.183359,2345
58636,117272.000,-10.744811,2345
58637,117274.000,-10.354568,2345
